region_id,matched_legend_id,match_score,symbol_final,legend_text,legend_color_name,area_px
-30,29,,逆断层,地层不整合接触界线,whitesmoke,-1
-29,28,,T₃ⁿγ,（角闪石）黑云母二长花岗岩,violet,-1
-28,27,,q,石英脉,lavender,-1
-27,26,,Qp³d⁴,道壶组四段：玄武质沉岩屑晶屑凝灰岩、沉火山角砾岩,khaki,-1
-26,25,,Qp¹β,下更新统；玄武岩,limegreen,-1
-25,24,,实线,实测性质不明断层,whitesmoke,-1
-24,23,,E₂w,瓦窑组：不等粒砂岩、细砾岩、泥岩 含油泥岩,palegoldenrod,-1
-23,22,,15,岩层产状,gainsboro,-1
-22,21,,虚线,推测性质不明断层,whitesmoke,-1
-21,20,,S₁k,空列村组: 石英岩、绢云石英粉细砂岩、绢云板岩、结晶灰岩,yellowgreen,-1
-20,19,,~,实(推)测地质界线,whitesmoke,-1
-19,18,,J₂nγ,黑云母二长花岗岩,palevioletred,-1
-18,17,,钻孔,黄铁矿化,whitesmoke,-1
-17,16,,Qp,更新统(未分): 粘土、砂、砂砾,khaki,-1
-16,15,,Qp³d³,道堂组三段：橄榄玄武岩,khaki,-1
-15,14,,"3,042Ma/K-Ar",同位素年龄值/同位素测定方法,gainsboro,-1
-14,13,,E₁₋₂ct-c,昌头组—长昌组：砂砾岩、砂岩、泥岩、油页岩、碳质页岩、褐煤,khaki,-1
-13,12,,ChB,抱板群: 石英云母片岩、长石石英岩、黑云斜长片麻岩,wheat,-1
-12,11,,Qp³d²,道堂组二段：玄武质沉岩屑晶屑凝灰岩及灰质含砾砂岩,khaki,-1
-11,10,,K₂λπ,石英斑岩,crimson,-1
-10,9,,Unknown,区域性大断裂,whitesmoke,-1
-9,8,,Qp¹x,秀英组：粘土、亚粘土、砂、砂砾,khaki,-1
-8,7,,Qp²b,北海组：亚砂土、砂、砂砾,khaki,-1
-7,6,,S₁t,陀烈组:变质石英细砂岩、粉砂岩 绢云板岩、碳质绢云板岩,yellowgreen,-1
-6,5,,Qh,全新统(未分):砂砾、砂、粘土,yellow,-1
-5,4,,K₁l,鹿母湾组: 砂砾岩、长石石英砂岩、粉砂岩、泥岩、安山-英安质火山岩,greenyellow,-1
-4,3,,Qh³y,姻墩组1:砂砾、砂、粘土、海滩岩,khaki,-1
-3,2,,N₂h,海口组：粘土、粉砂质粘土、玄武质沉凝灰岩、贝壳碎屑岩,khaki,-1
-2,1,,Qp³d¹,道堂组一段: 橄榄玄武岩,khaki,-1
-1,0,,Qh²q,琼山组：亚粘土、有机质粘土、砂,khaki,-1
0,40,87.52,⊥⊥_,橄榄玄武岩,whitesmoke,30707
1,40,87.56,⊥⊥_,橄榄玄武岩,whitesmoke,7382
2,40,89.3,⊥⊥_,橄榄玄武岩,whitesmoke,7310
3,40,90.13,⊥⊥_,橄榄玄武岩,whitesmoke,733
4,40,90.13,⊥⊥_,橄榄玄武岩,whitesmoke,125440
5,37,88.35,⊢,绿泥石化,whitesmoke,501
6,17,89.86,钻孔,黄铁矿化,whitesmoke,1332
7,17,88.21,钻孔,黄铁矿化,whitesmoke,1709
8,49,87.34,Qp³ˢˡ,"二叠纪
三叠纪",palegoldenrod,1463
9,56,92.91,S₂,中粒斑状二长花岗岩,lightgray,3591
10,56,92.91,S₂,中粒斑状二长花岗岩,lightgray,8324
11,37,87.17,⊢,绿泥石化,whitesmoke,602
12,58,84.03,J₁,火山盆地范围,snow,411
13,9,93.0,Unknown,区域性大断裂,whitesmoke,511
14,58,83.6,J₁,火山盆地范围,snow,432
15,56,89.71,S₂,中粒斑状二长花岗岩,lightgray,2011
16,58,80.38,J₁,火山盆地范围,snow,697
17,9,91.6,Unknown,区域性大断裂,whitesmoke,430
18,9,92.34,Unknown,区域性大断裂,whitesmoke,1820
19,17,85.18,钻孔,黄铁矿化,whitesmoke,474
20,17,85.85,钻孔,黄铁矿化,whitesmoke,543
21,37,84.04,⊢,绿泥石化,whitesmoke,963
22,51,83.19,⊙,火山口,whitesmoke,1112
23,57,82.5,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,462
24,16,93.23,Qp,更新统(未分): 粘土、砂、砂砾,khaki,7594
25,15,92.87,Qp³d³,道堂组三段：橄榄玄武岩,khaki,143533
26,15,92.87,Qp³d³,道堂组三段：橄榄玄武岩,khaki,16877
27,17,81.68,钻孔,黄铁矿化,whitesmoke,751
28,1,90.97,Qp³d¹,道堂组一段: 橄榄玄武岩,khaki,11554
29,54,90.91,J₃γδ,花岗闪长岩,lightgray,408
30,56,92.06,S₂,中粒斑状二长花岗岩,lightgray,4547
31,8,91.0,Qp¹x,秀英组：粘土、亚粘土、砂、砂砾,khaki,485
32,16,90.64,Qp,更新统(未分): 粘土、砂、砂砾,khaki,3888
33,56,89.81,S₂,中粒斑状二长花岗岩,lightgray,2629
34,59,92.96,Qh¹s,石山组:橄榄玄武岩、含火山角砾橄榄玄武岩,khaki,7295
35,56,93.14,S₂,中粒斑状二长花岗岩,lightgray,1185
36,36,87.1,Tectonite,火山洼地范围,whitesmoke,21238
37,1,90.69,Qp³d¹,道堂组一段: 橄榄玄武岩,khaki,5921
38,7,94.02,Qp²b,北海组：亚砂土、砂、砂砾,khaki,16182
39,15,91.51,Qp³d³,道堂组三段：橄榄玄武岩,khaki,3192
40,7,89.24,Qp²b,北海组：亚砂土、砂、砂砾,khaki,11
41,7,89.24,Qp²b,北海组：亚砂土、砂、砂砾,khaki,420
42,43,90.79,Qp³d,道堂组：玄武岩、沉凝灰岩,khaki,1672
43,1,88.06,Qp³d¹,道堂组一段: 橄榄玄武岩,khaki,1655
44,8,87.93,Qp¹x,秀英组：粘土、亚粘土、砂、砂砾,khaki,268
45,8,87.93,Qp¹x,秀英组：粘土、亚粘土、砂、砂砾,khaki,595
46,7,93.86,Qp²b,北海组：亚砂土、砂、砂砾,khaki,1448
47,7,93.86,Qp²b,北海组：亚砂土、砂、砂砾,khaki,5490
48,7,93.86,Qp²b,北海组：亚砂土、砂、砂砾,khaki,70
49,5,89.83,Qh,全新统(未分):砂砾、砂、粘土,yellow,4212
50,8,91.87,Qp¹x,秀英组：粘土、亚粘土、砂、砂砾,khaki,4555
51,30,91.64,Qp³bs,粉细砂、含细砾中粗砂,gold,4827
52,1,91.29,Qp³d¹,道堂组一段: 橄榄玄武岩,khaki,4
53,1,91.29,Qp³d¹,道堂组一段: 橄榄玄武岩,khaki,9081
54,7,93.77,Qp²b,北海组：亚砂土、砂、砂砾,khaki,442
55,7,93.77,Qp²b,北海组：亚砂土、砂、砂砾,khaki,1320
56,7,93.77,Qp²b,北海组：亚砂土、砂、砂砾,khaki,139273
57,7,93.77,Qp²b,北海组：亚砂土、砂、砂砾,khaki,13377
58,57,91.86,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,1571
59,57,91.86,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,4
60,1,91.8,Qp³d¹,道堂组一段: 橄榄玄武岩,khaki,3139
61,60,90.2,Cn-q,南好组—青天峡组：砾岩、砂岩、板岩、结晶灰岩,silver,1992
62,2,90.18,N₂h,海口组：粘土、粉砂质粘土、玄武质沉凝灰岩、贝壳碎屑岩,khaki,39897
63,2,90.18,N₂h,海口组：粘土、粉砂质粘土、玄武质沉凝灰岩、贝壳碎屑岩,khaki,14
64,3,88.32,Qh³y,姻墩组1:砂砾、砂、粘土、海滩岩,khaki,926
65,59,89.1,Qh¹s,石山组:橄榄玄武岩、含火山角砾橄榄玄武岩,khaki,586
66,36,86.92,Tectonite,火山洼地范围,whitesmoke,18367
67,9,88.72,Unknown,区域性大断裂,whitesmoke,18905
68,9,87.47,Unknown,区域性大断裂,whitesmoke,10776
69,5,90.82,Qh,全新统(未分):砂砾、砂、粘土,yellow,42
70,5,90.82,Qh,全新统(未分):砂砾、砂、粘土,yellow,220493
71,5,90.82,Qh,全新统(未分):砂砾、砂、粘土,yellow,8
72,4,86.24,K₁l,鹿母湾组: 砂砾岩、长石石英砂岩、粉砂岩、泥岩、安山-英安质火山岩,greenyellow,8482
73,9,89.37,Unknown,区域性大断裂,whitesmoke,11967
74,15,92.74,Qp³d³,道堂组三段：橄榄玄武岩,khaki,15294
75,12,91.58,ChB,抱板群: 石英云母片岩、长石石英岩、黑云斜长片麻岩,wheat,2778
76,35,82.58,P-Tγ,花岗岩,violet,4781
77,16,91.53,Qp,更新统(未分): 粘土、砂、砂砾,khaki,1113
78,1,92.03,Qp³d¹,道堂组一段: 橄榄玄武岩,khaki,23997
79,1,92.03,Qp³d¹,道堂组一段: 橄榄玄武岩,khaki,424
80,7,85.96,Qp²b,北海组：亚砂土、砂、砂砾,khaki,658
81,4,85.56,K₁l,鹿母湾组: 砂砾岩、长石石英砂岩、粉砂岩、泥岩、安山-英安质火山岩,greenyellow,25922
82,16,92.22,Qp,更新统(未分): 粘土、砂、砂砾,khaki,5036
83,16,92.22,Qp,更新统(未分): 粘土、砂、砂砾,khaki,8
84,16,90.41,Qp,更新统(未分): 粘土、砂、砂砾,khaki,403
85,13,90.27,E₁₋₂ct-c,昌头组—长昌组：砂砾岩、砂岩、泥岩、油页岩、碳质页岩、褐煤,khaki,8226
86,54,86.13,J₃γδ,花岗闪长岩,lightgray,850
87,6,88.86,S₁t,陀烈组:变质石英细砂岩、粉砂岩 绢云板岩、碳质绢云板岩,yellowgreen,1171
88,16,89.23,Qp,更新统(未分): 粘土、砂、砂砾,khaki,1258
89,5,90.28,Qh,全新统(未分):砂砾、砂、粘土,yellow,1193
90,1,88.44,Qp³d¹,道堂组一段: 橄榄玄武岩,khaki,4147
91,5,90.11,Qh,全新统(未分):砂砾、砂、粘土,yellow,17438
92,16,92.3,Qp,更新统(未分): 粘土、砂、砂砾,khaki,1153
93,8,93.51,Qp¹x,秀英组：粘土、亚粘土、砂、砂砾,khaki,8202
94,8,93.51,Qp¹x,秀英组：粘土、亚粘土、砂、砂砾,khaki,1141
95,16,90.51,Qp,更新统(未分): 粘土、砂、砂砾,khaki,1970
96,16,90.51,Qp,更新统(未分): 粘土、砂、砂砾,khaki,2200
97,7,94.07,Qp²b,北海组：亚砂土、砂、砂砾,khaki,633
98,7,94.07,Qp²b,北海组：亚砂土、砂、砂砾,khaki,27406
99,16,92.74,Qp,更新统(未分): 粘土、砂、砂砾,khaki,4247
100,35,85.98,P-Tγ,花岗岩,violet,472
101,35,85.98,P-Tγ,花岗岩,violet,110722
102,16,92.04,Qp,更新统(未分): 粘土、砂、砂砾,khaki,512
103,57,94.15,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,11438
104,57,94.15,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,147796
105,57,94.15,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,1171
106,57,94.15,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,3044
107,57,94.15,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,6211
108,57,94.15,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,1159
109,57,94.15,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,6
110,57,94.15,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,2832
111,57,94.15,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,9493
112,16,91.46,Qp,更新统(未分): 粘土、砂、砂砾,khaki,1986
113,7,84.48,Qp²b,北海组：亚砂土、砂、砂砾,khaki,461
114,7,94.07,Qp²b,北海组：亚砂土、砂、砂砾,khaki,8
115,7,94.07,Qp²b,北海组：亚砂土、砂、砂砾,khaki,5369
116,7,94.07,Qp²b,北海组：亚砂土、砂、砂砾,khaki,443
117,7,89.39,Qp²b,北海组：亚砂土、砂、砂砾,khaki,705
118,42,85.59,J₂γ,花岗岩,indianred,3493
119,16,92.02,Qp,更新统(未分): 粘土、砂、砂砾,khaki,1802
120,7,91.39,Qp²b,北海组：亚砂土、砂、砂砾,khaki,741
121,16,89.84,Qp,更新统(未分): 粘土、砂、砂砾,khaki,587
122,57,91.19,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,1148
123,30,91.84,Qp³bs,粉细砂、含细砾中粗砂,gold,10492
124,10,49.86,K₂λπ,石英斑岩,crimson,499
125,57,91.43,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,573
126,42,83.37,J₂γ,花岗岩,indianred,475
127,4,82.66,K₁l,鹿母湾组: 砂砾岩、长石石英砂岩、粉砂岩、泥岩、安山-英安质火山岩,greenyellow,12190
128,16,94.44,Qp,更新统(未分): 粘土、砂、砂砾,khaki,867
129,16,94.44,Qp,更新统(未分): 粘土、砂、砂砾,khaki,6191
130,57,89.99,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,860
131,4,87.71,K₁l,鹿母湾组: 砂砾岩、长石石英砂岩、粉砂岩、泥岩、安山-英安质火山岩,greenyellow,8121
132,7,93.77,Qp²b,北海组：亚砂土、砂、砂砾,khaki,6608
133,4,89.91,K₁l,鹿母湾组: 砂砾岩、长石石英砂岩、粉砂岩、泥岩、安山-英安质火山岩,greenyellow,3457
134,7,89.96,Qp²b,北海组：亚砂土、砂、砂砾,khaki,589
135,23,89.65,E₂w,瓦窑组：不等粒砂岩、细砾岩、泥岩 含油泥岩,palegoldenrod,467
136,16,87.1,Qp,更新统(未分): 粘土、砂、砂砾,khaki,455
137,16,89.16,Qp,更新统(未分): 粘土、砂、砂砾,khaki,442
138,16,92.59,Qp,更新统(未分): 粘土、砂、砂砾,khaki,709
139,57,89.94,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,599
140,4,88.74,K₁l,鹿母湾组: 砂砾岩、长石石英砂岩、粉砂岩、泥岩、安山-英安质火山岩,greenyellow,13214
141,16,88.37,Qp,更新统(未分): 粘土、砂、砂砾,khaki,498
142,8,91.02,Qp¹x,秀英组：粘土、亚粘土、砂、砂砾,khaki,853
143,16,92.74,Qp,更新统(未分): 粘土、砂、砂砾,khaki,1029
144,4,87.37,K₁l,鹿母湾组: 砂砾岩、长石石英砂岩、粉砂岩、泥岩、安山-英安质火山岩,greenyellow,4067
145,4,87.37,K₁l,鹿母湾组: 砂砾岩、长石石英砂岩、粉砂岩、泥岩、安山-英安质火山岩,greenyellow,9590
146,4,87.26,K₁l,鹿母湾组: 砂砾岩、长石石英砂岩、粉砂岩、泥岩、安山-英安质火山岩,greenyellow,8829
147,4,86.23,K₁l,鹿母湾组: 砂砾岩、长石石英砂岩、粉砂岩、泥岩、安山-英安质火山岩,greenyellow,11988
148,4,88.76,K₁l,鹿母湾组: 砂砾岩、长石石英砂岩、粉砂岩、泥岩、安山-英安质火山岩,greenyellow,2823
149,25,87.6,Qp¹β,下更新统；玄武岩,limegreen,5265
150,7,93.76,Qp²b,北海组：亚砂土、砂、砂砾,khaki,13031
151,16,94.21,Qp,更新统(未分): 粘土、砂、砂砾,khaki,26
152,16,94.21,Qp,更新统(未分): 粘土、砂、砂砾,khaki,701
153,16,94.21,Qp,更新统(未分): 粘土、砂、砂砾,khaki,361
154,16,94.21,Qp,更新统(未分): 粘土、砂、砂砾,khaki,532
155,16,94.21,Qp,更新统(未分): 粘土、砂、砂砾,khaki,65
156,16,94.21,Qp,更新统(未分): 粘土、砂、砂砾,khaki,11
157,16,94.21,Qp,更新统(未分): 粘土、砂、砂砾,khaki,4190
158,16,94.21,Qp,更新统(未分): 粘土、砂、砂砾,khaki,23
159,16,94.21,Qp,更新统(未分): 粘土、砂、砂砾,khaki,207
160,16,94.21,Qp,更新统(未分): 粘土、砂、砂砾,khaki,203
161,4,89.24,K₁l,鹿母湾组: 砂砾岩、长石石英砂岩、粉砂岩、泥岩、安山-英安质火山岩,greenyellow,4469
162,7,93.83,Qp²b,北海组：亚砂土、砂、砂砾,khaki,16783
163,57,89.65,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,1717
164,8,85.8,Qp¹x,秀英组：粘土、亚粘土、砂、砂砾,khaki,158
165,8,85.8,Qp¹x,秀英组：粘土、亚粘土、砂、砂砾,khaki,268
166,57,90.33,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,603
167,7,93.77,Qp²b,北海组：亚砂土、砂、砂砾,khaki,8166
168,7,93.72,Qp²b,北海组：亚砂土、砂、砂砾,khaki,3508
169,6,90.13,S₁t,陀烈组:变质石英细砂岩、粉砂岩 绢云板岩、碳质绢云板岩,yellowgreen,6377
170,8,94.09,Qp¹x,秀英组：粘土、亚粘土、砂、砂砾,khaki,4810
171,30,89.82,Qp³bs,粉细砂、含细砾中粗砂,gold,3840
172,42,74.33,J₂γ,花岗岩,indianred,17164
173,59,91.37,Qh¹s,石山组:橄榄玄武岩、含火山角砾橄榄玄武岩,khaki,1331
174,30,91.51,Qp³bs,粉细砂、含细砾中粗砂,gold,1575
175,42,69.77,J₂γ,花岗岩,indianred,3071
176,25,80.49,Qp¹β,下更新统；玄武岩,limegreen,10875
177,25,84.62,Qp¹β,下更新统；玄武岩,limegreen,548
178,20,88.3,S₁k,空列村组: 石英岩、绢云石英粉细砂岩、绢云板岩、结晶灰岩,yellowgreen,13770
179,43,92.35,Qp³d,道堂组：玄武岩、沉凝灰岩,khaki,1428
180,12,92.82,ChB,抱板群: 石英云母片岩、长石石英岩、黑云斜长片麻岩,wheat,4812
181,4,84.49,K₁l,鹿母湾组: 砂砾岩、长石石英砂岩、粉砂岩、泥岩、安山-英安质火山岩,greenyellow,10
182,4,84.49,K₁l,鹿母湾组: 砂砾岩、长石石英砂岩、粉砂岩、泥岩、安山-英安质火山岩,greenyellow,135971
183,8,89.43,Qp¹x,秀英组：粘土、亚粘土、砂、砂砾,khaki,1445
184,16,89.83,Qp,更新统(未分): 粘土、砂、砂砾,khaki,1037
185,19,89.02,~,实(推)测地质界线,whitesmoke,4985
186,15,86.93,Qp³d³,道堂组三段：橄榄玄武岩,khaki,1478
187,9,90.14,Unknown,区域性大断裂,whitesmoke,230936
188,7,92.86,Qp²b,北海组：亚砂土、砂、砂砾,khaki,1153
189,9,87.73,Unknown,区域性大断裂,whitesmoke,26003
190,16,89.49,Qp,更新统(未分): 粘土、砂、砂砾,khaki,625
191,30,88.32,Qp³bs,粉细砂、含细砾中粗砂,gold,3928
192,35,82.9,P-Tγ,花岗岩,violet,10158
193,19,87.29,~,实(推)测地质界线,whitesmoke,15182
194,1,89.31,Qp³d¹,道堂组一段: 橄榄玄武岩,khaki,3756
195,17,83.79,钻孔,黄铁矿化,whitesmoke,1019
196,20,88.15,S₁k,空列村组: 石英岩、绢云石英粉细砂岩、绢云板岩、结晶灰岩,yellowgreen,4485
197,42,82.57,J₂γ,花岗岩,indianred,403
198,1,92.59,Qp³d¹,道堂组一段: 橄榄玄武岩,khaki,3393
199,42,83.21,J₂γ,花岗岩,indianred,440
200,7,91.98,Qp²b,北海组：亚砂土、砂、砂砾,khaki,1020
201,35,83.44,P-Tγ,花岗岩,violet,5183
202,57,93.81,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,2009
203,7,93.75,Qp²b,北海组：亚砂土、砂、砂砾,khaki,22798
204,7,93.75,Qp²b,北海组：亚砂土、砂、砂砾,khaki,926
205,7,93.75,Qp²b,北海组：亚砂土、砂、砂砾,khaki,4
206,35,82.2,P-Tγ,花岗岩,violet,33
207,35,82.2,P-Tγ,花岗岩,violet,623
208,35,82.2,P-Tγ,花岗岩,violet,23
209,35,82.64,P-Tγ,花岗岩,violet,6433
210,42,87.28,J₂γ,花岗岩,indianred,1734
211,18,86.96,J₂nγ,黑云母二长花岗岩,palevioletred,33
212,18,86.96,J₂nγ,黑云母二长花岗岩,palevioletred,383
213,18,86.96,J₂nγ,黑云母二长花岗岩,palevioletred,108
214,18,86.96,J₂nγ,黑云母二长花岗岩,palevioletred,7
215,18,86.96,J₂nγ,黑云母二长花岗岩,palevioletred,3191
216,35,72.52,P-Tγ,花岗岩,violet,111
217,35,72.52,P-Tγ,花岗岩,violet,992
218,28,86.09,T₃ⁿγ,（角闪石）黑云母二长花岗岩,violet,72820
219,25,84.3,Qp¹β,下更新统；玄武岩,limegreen,1915
220,3,89.32,Qh³y,姻墩组1:砂砾、砂、粘土、海滩岩,khaki,15259
221,20,86.57,S₁k,空列村组: 石英岩、绢云石英粉细砂岩、绢云板岩、结晶灰岩,yellowgreen,409
222,20,86.27,S₁k,空列村组: 石英岩、绢云石英粉细砂岩、绢云板岩、结晶灰岩,yellowgreen,1240
223,35,83.15,P-Tγ,花岗岩,violet,6554
224,42,82.51,J₂γ,花岗岩,indianred,606
225,35,82.94,P-Tγ,花岗岩,violet,2878
226,35,82.94,P-Tγ,花岗岩,violet,49657
227,42,80.91,J₂γ,花岗岩,indianred,4840
228,42,80.91,J₂γ,花岗岩,indianred,1302
229,42,86.02,J₂γ,花岗岩,indianred,525
230,28,84.47,T₃ⁿγ,（角闪石）黑云母二长花岗岩,violet,657
231,28,84.47,T₃ⁿγ,（角闪石）黑云母二长花岗岩,violet,36552
232,28,84.47,T₃ⁿγ,（角闪石）黑云母二长花岗岩,violet,1050
233,57,89.31,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,1529
234,42,52.64,J₂γ,花岗岩,indianred,462
235,42,77.59,J₂γ,花岗岩,indianred,24591
236,12,89.61,ChB,抱板群: 石英云母片岩、长石石英岩、黑云斜长片麻岩,wheat,4010
237,20,87.76,S₁k,空列村组: 石英岩、绢云石英粉细砂岩、绢云板岩、结晶灰岩,yellowgreen,905
238,57,90.79,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,667
239,43,93.19,Qp³d,道堂组：玄武岩、沉凝灰岩,khaki,39846
240,25,77.47,Qp¹β,下更新统；玄武岩,limegreen,17408
241,12,88.97,ChB,抱板群: 石英云母片岩、长石石英岩、黑云斜长片麻岩,wheat,4181
242,25,76.05,Qp¹β,下更新统；玄武岩,limegreen,47850
243,57,90.15,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,2750
244,57,91.13,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,591
245,35,82.83,P-Tγ,花岗岩,violet,10944
246,57,90.68,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,774
247,53,85.16,J₃γδ,花岗闪长岩,tomato,13035
248,57,94.1,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,3279
249,35,82.92,P-Tγ,花岗岩,violet,10665
250,10,90.04,K₂λπ,石英斑岩,crimson,2274
251,20,86.11,S₁k,空列村组: 石英岩、绢云石英粉细砂岩、绢云板岩、结晶灰岩,yellowgreen,657
252,42,88.87,J₂γ,花岗岩,indianred,5669
253,42,88.87,J₂γ,花岗岩,indianred,3210
254,57,93.8,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,2598
255,42,70.66,J₂γ,花岗岩,indianred,10068
256,16,90.2,Qp,更新统(未分): 粘土、砂、砂砾,khaki,155
257,16,90.2,Qp,更新统(未分): 粘土、砂、砂砾,khaki,856
258,5,90.45,Qh,全新统(未分):砂砾、砂、粘土,yellow,1013
259,7,93.8,Qp²b,北海组：亚砂土、砂、砂砾,khaki,1824
260,12,91.83,ChB,抱板群: 石英云母片岩、长石石英岩、黑云斜长片麻岩,wheat,2725
261,42,81.1,J₂γ,花岗岩,indianred,440
262,15,91.59,Qp³d³,道堂组三段：橄榄玄武岩,khaki,3048
263,57,92.38,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,414
264,37,88.06,⊢,绿泥石化,whitesmoke,835
265,57,90.58,Nsm-s,石马村组一石门沟村组：玻基橄辉岩、橄榄玄武岩、辉斑橄榄玄武岩、粗玄岩,wheat,2500
266,37,73.5,⊢,绿泥石化,whitesmoke,2350
